
item_masteralchemistflask,$0 Mestarialkemistipullo,,,,,,,,,,,,,
item_masteralchemistflask_name,Mestarialkemistipullo,,,,,,,,,,,,,
item_ampoule,$0 Ampoule,,,,,,,,,,,,,
item_ampoule_name,Ampoule,,,,,,,,,,,,,
item_stasisbeaker,$0 Stasis beaker,,,,,,,,,,,,,
item_stasisbeaker_name,Stasis beaker,,,,,,,,,,,,,
el_perkname_alchemylab,Personal Lab,,,,,,,,,,,,,
el_perkdesc_alchemylab,Gives you access to a personal alchemy lab.,,,,,,,,,,,,,
item_disposablepotion,$0 Flimsy Container,,,,,,,,,,,,,
item_disposablepotion_name,Flimsy Container,,,,,,,,,,,,,
